ID,#YY,MM,DD,hh,mm,WDIR(degT),WSPD(m/s),GST(m/s),DPD(sec),APD(sec),MWD(degT),PRES(hPa),ATMP(degC),WTMP(degC),DEWP(degC),WVHT(m)
2017424150,2017,4,24,1,50,23,3,3.6,4.17,3.33,349,1019.1,4.7,5.1,4.2,0.39
2017424250,2017,4,24,2,50,30,2.9,3.3,5.26,4.21,358,1018.8,4.6,4.8,4.1,0.65
2017424350,2017,4,24,3,50,360,2.2,2.5,5.88,4.79,11,1018.3,4.6,4.7,4.2,0.9
2017424450,2017,4,24,4,50,355,2.5,3.1,5.88,4.95,23,1018.1,4.6,4.6,4.2,0.91
2017424550,2017,4,24,5,50,355,3.5,4.5,6.25,4.98,26,1018.3,4.5,4.6,4,0.88
2017424650,2017,4,24,6,50,25,2.6,3.2,6.25,5.07,17,1017.7,4.4,4.6,4,0.87
2017424750,2017,4,24,7,50,32,1.7,2.3,6.67,4.76,17,1017.4,4.5,4.6,4.2,0.8
2017424850,2017,4,24,8,50,349,1.3,1.6,6.67,4.8,29,1017.1,4.6,4.6,4.3,0.75
2017424950,2017,4,24,9,50,25,2.3,2.6,6.25,4.98,17,1017.2,4.8,4.6,4.3,0.83
20174241050,2017,4,24,10,50,51,3.4,3.7,6.25,4.77,6,1017.1,5.7,4.6,4.7,0.69
20174241150,2017,4,24,11,50,53,3.7,4.1,5.26,4.48,358,1017.5,5.7,4.6,4.8,0.59
20174241250,2017,4,24,12,50,57,3.4,3.9,5.88,4.7,358,1018,5.7,4.7,4.8,0.61
20174241350,2017,4,24,13,50,65,3.5,3.9,5.88,4.59,350,1017.8,5.7,4.7,5,0.55
20174241450,2017,4,24,14,50,85,3.3,3.8,5.88,4.54,347,1017.7,5.8,4.8,5.1,0.5
20174241550,2017,4,24,15,50,94,3.3,3.7,5.26,4.33,339,1017,6.2,4.9,5.1,0.41
20174241650,2017,4,24,16,50,94,1.8,2.2,5.26,4.06,337,1016.6,6.6,5,5.1,0.43
20174241750,2017,4,24,17,50,54,0.9,1.1,5.26,3.82,343,1015.9,7.5,5.4,5.3,0.42
20174241850,2017,4,24,18,50,52,1.6,1.8,5,3.74,353,1014.8,8,5.9,5.6,0.42
20174241950,2017,4,24,19,50,33,2.2,2.4,3.23,3.69,60,1013.7,8.6,6.3,6,0.36
20174242050,2017,4,24,20,50,22,2.5,2.8,4.55,3.82,8,1012.7,8.7,6.3,6,0.34
20174242150,2017,4,24,21,50,32,2.6,2.9,4.76,3.88,5,1011.8,9.1,6.3,5.9,0.31
20174242250,2017,4,24,22,50,27,2.6,2.7,4.76,4.03,6,1011,10.2,6.4,4.9,0.3
20174242350,2017,4,24,23,50,27,2.6,2.8,5,4.24,9,1010.4,9.2,6.1,5.3,0.3
2017425050,2017,4,25,0,50,54,3.1,3.3,4.76,4.28,1,1009.6,8.9,6.1,4.9,0.28
2017425950,2017,4,25,9,50,101,5.6,6.3,2.74,2.77,102,1007.7,7.7,5,5.5,0.27
20174251050,2017,4,25,10,50,97,6.6,7.6,2.74,2.79,108,1007.3,7.6,4.9,5.9,0.36
20174251150,2017,4,25,11,50,101,5.8,6.6,3.03,2.94,102,1007.4,7.5,4.9,6.1,0.4
20174251250,2017,4,25,12,50,104,6.1,6.8,3.33,3,96,1007.4,7.6,4.9,6.3,0.41
20174251350,2017,4,25,13,50,115,6.1,6.8,3.23,2.97,100,1007.1,7.6,4.9,6.7,0.46
20174251450,2017,4,25,14,50,122,5.5,6.2,3.23,3.05,106,1007,7.7,4.9,6.8,0.43
20174251550,2017,4,25,15,50,131,4.9,5.5,3.33,2.99,117,1006.9,7.9,5,7,0.37
20174251650,2017,4,25,16,50,131,4.2,4.6,3.23,2.97,112,1006.8,8.1,5.1,7.2,0.32
20174251750,2017,4,25,17,50,120,4.5,4.8,3.03,3.02,114,1006.2,8.4,5.1,7.3,0.3
20174251850,2017,4,25,18,50,112,4.1,4.4,3.13,2.95,132,1005.5,8.7,5.2,7.5,0.26
2017426750,2017,4,26,7,50,107,6.5,7.2,2.47,2.55,111,1000.1,9.5,5.2,8.4,0.28
2017426850,2017,4,26,8,50,115,5.7,6.3,2.74,2.66,107,1000.2,8.9,5.2,8.1,0.29
2017426950,2017,4,26,9,50,115,6.3,7.6,2.86,2.74,117,999.6,8.8,5.2,8,0.35
20174261050,2017,4,26,10,50,120,6,6.7,2.94,2.93,124,999.2,8.6,5.1,7.9,0.38
20174261150,2017,4,26,11,50,118,6.4,7.2,3.23,2.96,135,998.9,8.8,5.1,8.1,0.42
20174261250,2017,4,26,12,50,130,6.6,7.3,3.57,3.06,134,999.3,8.7,5.1,8.1,0.46
20174261350,2017,4,26,13,50,113,6.6,7.5,3.57,3.16,138,997.6,8.8,5.1,8,0.52
20174261450,2017,4,26,14,50,129,6.7,7.5,3.57,3.26,131,997.1,9.5,5.1,8.5,0.57
20174261550,2017,4,26,15,50,124,5.3,5.9,3.7,3.35,130,997,9.2,5.1,8.1,0.62
20174261650,2017,4,26,16,50,165,6,6.7,3.57,3.33,125,997.5,9.3,5.2,8.2,0.55
20174261750,2017,4,26,17,50,170,5,6.7,3.85,3.4,127,997.6,9.3,5.2,8.3,0.52
20174261850,2017,4,26,18,50,217,3.7,4.2,3.85,3.2,138,998.1,10,5.2,8.7,0.41
